;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
143;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_FT_SEED_42.pth;random;PD4;50;42;True;CIFAR10;92.38;accuracy
144;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_FT_SEED_97.pth;random;PD4;50;97;True;CIFAR10;92.76;accuracy
145;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_SEED_112.pth;random;PD4;50;112;False;CIFAR10;10;accuracy
146;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_SEED_167.pth;random;PD4;50;167;False;CIFAR10;10;accuracy
147;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_SEED_23.pth;random;PD4;50;23;False;CIFAR10;10;accuracy
148;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_SEED_42.pth;random;PD4;50;42;False;CIFAR10;10;accuracy
149;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_SEED_97.pth;random;PD4;50;97;False;CIFAR10;10;accuracy
150;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD2_GPD-20_PRUNED_FT_SEED_23.pth;SenpisFaster;PD2;20;23;True;CIFAR10;94.73;accuracy
151;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD2_GPD-20_PRUNED_SEED_23.pth;SenpisFaster;PD2;20;23;False;CIFAR10;83.51;accuracy
152;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD2_GPD-30_PRUNED_FT_SEED_23.pth;SenpisFaster;PD2;30;23;True;CIFAR10;94.21;accuracy
153;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD2_GPD-30_PRUNED_SEED_23.pth;SenpisFaster;PD2;30;23;False;CIFAR10;13.2;accuracy
154;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD2_GPD-50_PRUNED_FT_SEED_23.pth;SenpisFaster;PD2;50;23;True;CIFAR10;91.78;accuracy
155;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD2_GPD-50_PRUNED_SEED_23.pth;SenpisFaster;PD2;50;23;False;CIFAR10;10;accuracy
